geneID,6-7 internode,7-8 internode,B73 Mature Pollen,Ear Primordium 2-4 mm,Ear Primordium 6-8 mm,Embryo 20 DAP,Embryo 38 DAP,Endosperm 12 DAP,Endosperm Crown 27 DAP,Female Spikelet Collected on day as silk,Germinatin Kernels 2 DAI,Leaf Zone 1 (Symmetrical),Leaf Zone 2 (Stomatal),Leaf Zone 3 (Growth),Mature Leaf 8,Pericarp/Aleurone 27 DAP,Primary Root 5 Days,Root - Cortex 5 Days,Root - Elongation Zone 5 Days,Root - Meristem Zone 5 Days,Secondary Root 7-8 Days,Silk,Vegetative Meristem 16-19 Day
Zm00001d045668,1287.243992,3867.97936,416.9984243,2810.811747,2490.766699,1941.202055,1328.127832,4752.455688,7042.277233,2187.480688,2389.712714,1006.111673,707.4290659,636.6717843,325.864772,4374.497289,1514.016102,2256.394769,344.3789198,1012.265377,584.9195148,665.4033563,919.7839508
Zm00001d045669,170.0802957,524.5598907,807.0999424,328.2184778,238.7622938,1631.77363,441.7795455,NA,325.3510736,207.2827175,938.0350006,702.0342039,395.9498834,593.0911816,958.0107388,535.8015495,NA,424.1501277,588.8686364,522.455839,49.88988252,135.1150687,624.6707761
Zm00001d045673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zm00001d045675,1101.878513,1501.382916,670.8793475,1450.530773,1073.842855,1138.060594,723.658559,876.0997098,390.7204986,731.7054711,159.9756618,1155.533896,896.898627,738.7877994,193.5461268,525.5615995,703.1643734,251.060873,596.8874714,786.0463864,378.8019457,337.5848856,1861.537566
Zm00001d045680,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,418.6218314,178.8912434,1166.979073,579.4493908,277.5503714,NA,NA
Zm00001d045685,NA,NA,NA,NA,NA,307.4466744,NA,NA,NA,NA,NA,94.76879964,136.5389251,140.555759,NA,NA,1517.924579,199.6335916,1238.267279,658.462123,NA,NA,NA
Zm00001d045695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,162.8996554,15.95474824,NA,NA,NA,NA,NA
Zm00001d045696,32.77835573,22.95154572,NA,54.94336852,30.10750328,19.39740892,NA,70.95337876,NA,35.09280455,29.0030744,25.81720426,16.55093939,13.27427888,28.54569012,NA,30.93308694,44.99610966,14.78140204,18.83324581,31.78173851,17.6032586,48.97707435
Zm00001d045697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zm00001d045706,2573.326077,2138.114458,1112.986243,1770.149598,1518.463792,6155.64463,3901.221345,469.1771225,777.430487,1806.851081,5779.323273,165.9038033,51.11790465,220.0292434,3104.957216,8966.154532,3183.058229,6990.86649,3355.449238,2114.873176,2460.193915,4976.499714,828.9161861
Zm00001d045721,NA,NA,NA,33.63067693,65.84609696,NA,NA,NA,NA,NA,NA,12.22487324,19.4858217,33.4591002,NA,NA,NA,NA,17.90975974,34.94436531,NA,NA,48.95813458
Zm00001d045724,622.6099949,996.6180153,1643.200401,1349.570293,1334.4919,1708.543399,1145.861892,991.6468953,819.8632545,1431.277151,1593.55416,1760.701051,1596.663254,1831.103006,633.7567852,1677.009156,616.7878755,697.164188,801.8895044,781.6680843,315.9703909,378.5343648,1540.628645
Zm00001d045725,598.605099,221.6236377,104.4935277,353.2809753,459.3243933,148.6851304,72.12505384,294.0180116,138.0592538,342.9621086,118.8118544,311.6453924,322.2607076,348.2442079,44.38273883,105.4389036,220.170251,163.5083777,163.5759818,318.6619159,145.5477884,194.8383418,397.7767815
Zm00001d045744,97.82980883,94.43787236,NA,252.4827846,366.3055063,149.8539115,142.2969135,179.5003269,114.1032242,283.6098013,58.19660812,236.2007306,269.9317737,290.5309917,NA,169.6774495,170.4408149,89.01537892,184.2832175,237.0168775,113.9691952,51.17519013,257.8464068
Zm00001d045746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.87512073,NA,NA,NA
Zm00001d045755,NA,NA,NA,23.48462026,27.43058282,16.48488217,NA,NA,NA,NA,NA,NA,13.44698204,11.12814801,NA,NA,NA,NA,11.75830595,17.1501521,NA,NA,NA
Zm00001d045757,285.6423262,80.93777047,NA,136.5803459,151.6410608,91.42616891,NA,117.1561647,NA,70.69262231,44.51392647,55.84732767,62.7299427,60.72703136,NA,15.70160906,158.6835982,24.79895712,127.9705118,110.6985935,92.26784292,11.36481886,104.4608008
Zm00001d045764,46.71984869,NA,NA,192.179016,162.6935201,50.41407434,NA,NA,NA,74.15610766,26.58123682,95.19495124,302.0194389,155.8811181,NA,NA,NA,NA,41.94129765,44.76061599,85.85357394,NA,126.1183532
Zm00001d045767,NA,47.90670996,NA,80.66432634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zm00001d045772,NA,NA,NA,NA,NA,NA,NA,399.5984902,NA,NA,NA,NA,NA,NA,NA,41.00229628,NA,NA,NA,NA,NA,NA,NA
Zm00001d045774,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zm00001d045783,188.2847881,248.4207634,NA,411.8249693,526.6170732,226.4803767,65.29958801,79.78422543,62.90940776,151.731402,40.63912833,312.9279497,348.8815824,569.2467336,38.33348914,118.4288261,101.3649545,68.98483077,206.8473647,150.8883186,78.96716918,98.26152676,289.4324968
Zm00001d045784,462.0860562,345.2938422,NA,766.0852865,653.7812907,213.2754719,263.1404909,235.3999508,395.3463723,336.4159523,868.50209,161.863281,423.8638382,169.8310443,256.2708707,876.3206749,139.100855,1905.480253,1247.659055,397.7487066,998.3397707,1415.149768,117.9251727
Zm00001d045785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.14218015,NA,34.73741024,NA,NA,NA,NA,NA
Zm00001d045788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,427.6423881,NA,NA,NA,NA,NA,NA,NA
Zm00001d045792,NA,NA,NA,NA,NA,NA,NA,12482.75514,NA,2161.836644,NA,NA,NA,NA,NA,790.326222,NA,NA,NA,NA,NA,NA,NA
Zm00001d045798,NA,40.16469363,NA,22.6261435,13.65121641,17.80574724,NA,39.06350903,22.38654176,NA,NA,31.86291959,25.3893706,19.76632066,NA,8.480500033,NA,4.350555712,NA,NA,NA,NA,NA
Zm00001d045808,20.62300475,12.54129646,NA,38.46265027,16.99743887,28.48287763,NA,NA,NA,NA,40.16629338,24.72009719,19.97881716,20.1330832,NA,6.938078973,12.91735419,NA,39.14533238,31.45034122,32.67087974,NA,35.19397398
Zm00001d045812,184.8638879,300.3856497,NA,137.1755593,83.46492795,208.3146361,144.100745,204.6970669,123.5148779,218.2308311,148.1707051,102.5124721,141.9628702,114.1417028,31.00932112,214.9668306,158.3317389,105.6513448,142.7451604,150.7020565,194.7980578,65.49864511,145.0248589
Zm00001d045819,NA,44.88726254,NA,107.7870952,65.77593047,72.82021926,51.39332322,115.8202777,NA,46.95540424,45.33174713,60.54523899,81.45794092,87.86471674,25.60149487,20.65662503,NA,38.45531539,119.0061554,141.0990095,110.4120351,29.38251271,74.46941199
Zm00001d045825,76.87653814,51.96114069,NA,139.7647529,22.49291702,151.761357,127.5251274,101.490413,NA,73.15957558,27.84271925,124.0626771,115.7083259,119.4428355,NA,42.21846606,57.24158405,9.644960799,107.7491861,68.78878737,44.54390394,NA,38.74051235
Zm00001d045836,NA,NA,NA,NA,NA,NA,NA,NA,124.3379899,NA,NA,NA,NA,NA,NA,152.4414812,111.9464452,150.1143516,NA,NA,143.1403612,NA,NA
Zm00001d045837,NA,NA,92.96165344,NA,30.3002423,69.57917327,NA,NA,NA,NA,NA,22.28233374,59.37733637,NA,NA,NA,NA,NA,NA,29.7905047,NA,NA,NA
Zm00001d045846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.71625086,NA,308.7840905,224.6979273,NA,265.1700278,125.4264428,NA,NA
